name,share1,industry,share2
1101,台泥,0.89%,水泥工業
1102,亞泥,0.46%,水泥工業
1216,統一,2.19%,食品工業
1301,台塑,3.24%,塑膠工業
1303,南亞塑膠,2.91%,塑膠工業
1326,台化,2.46%,塑膠工業
1402,遠東新,0.67%,紡織纖維
2002,中鋼,1.73%,鋼鐵工業
2105,正新,0.50%,橡膠工業
2633,台灣高鐵,0.29%,航運業
2801,彰化銀行,0.62%,金融保險業
2823,中壽,0.46%,金融保險業
2880,華南金,0.86%,金融保險業
2881,富邦金,2.22%,金融保險業
2882,國泰金,2.51%,金融保險業
2883,開發金,0.92%,金融保險業
2884,玉山金控,1.22%,金融保險業
2885,元大金,0.93%,金融保險業
2886,兆豐金,1.73%,金融保險業
2887,台新金控,0.81%,金融保險業
2890,永豐金控,0.67%,金融保險業
2891,中信金,2.35%,金融保險業
2892,第一金控,1.17%,金融保險業
5880,合庫金,0.93%,金融保險業
2912,統一超,1.15%,貿易百貨
5871,中租-KY,0.68%,其他
9904,寶成工業,0.56%,其他
6505,台塑石化,0.99%,油電燃氣業
2303,聯電,1.19%,半導體業
2330,台積電,30.72%,半導體業
2408,南亞科,0.39%,半導體業
2454,聯發科,2.61%,半導體業
3711,日月光投控,1.43%,半導體業
2301,光寶科技,0.46%,電腦及週邊設備業
2357,華碩,1.16%,電腦及週邊設備業
2382,廣達,0.84%,電腦及週邊設備業
2395,研華,0.44%,電腦及週邊設備業
4938,和碩,0.74%,電腦及週邊設備業
2409,友達,0.67%,光電業
3008,大立光,2.72%,光電業
3481,群創光電,0.56%,光電業
2412,中華電,2.47%,通信網路業
3045,台灣大,1.04%,通信網路業
4904,遠傳,0.74%,通信網路業
2308,台達電,1.40%,電子零組件業
2327,國巨,2.15%,電子零組件業
2492,華新科,1.20%,電子零組件業
2317,鴻海,7.34%,其他電子業
2354,鴻準,0.49%,其他電子業
2474,可成科技,1.49%,其他電子業
